benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,24,225,143771,1.0,0.846,0,0.822,143420,,99.96875
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,24,250,143769,1.0,0.846,0,0.822,143420,,99.9715909090909
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,32,250,143770,1.0,0.846,0,0.823,150460,,100.0
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,32,275,143770,1.0,0.846,0,0.824,150460,,100.0
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,4,1000000,singlepass_eif,32,300,143770,1.0,0.846,0,0.823,150460,,99.99431898878001
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,eif_baseline,0,0,126182,,0.848,0,0.161,141800,,
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,4,25,126091,0.958,0.848,0,0.562,151740,,89.18335992436329
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,4,50,126097,0.929,0.848,0,0.545,151740,,93.6123896006966
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,4,75,126123,0.914,0.848,0,0.56,151740,,96.39432900568985
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,8,75,126115,0.998,0.848,0,0.816,129340,,99.54310855402318
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,8,100,126069,0.997,0.848,0,0.817,129340,,99.54606969662795
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,8,125,126114,0.996,0.848,0,0.818,129340,,99.6502608940911
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,16,150,126178,0.999,0.848,0,0.825,136380,,99.99718761425316
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,16,175,126154,0.999,0.848,0,0.823,136380,,99.9634317862166
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,16,200,126183,0.999,0.848,0,0.823,136380,,99.9718666479111
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,24,200,126121,0.999,0.848,0,0.823,143420,,99.98028946331024
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,24,225,126094,0.999,0.848,0,0.824,143420,,99.99436841808864
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,24,250,126195,0.999,0.848,0,0.824,143420,,99.9887618351923
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,32,250,126114,0.999,0.848,0,0.824,150460,,100.0
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,32,275,126103,0.999,0.848,0,0.823,150460,,99.99718579388754
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,8,1000000,singlepass_eif,32,300,126103,0.999,0.848,0,0.823,150460,,99.99155714406326
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,eif_baseline,0,0,133451,,0.858,0,0.166,141800,,
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,4,25,117048,0.968,0.858,0,0.763,125820,,94.0202977474451
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,4,50,133337,0.909,0.858,0,0.603,125820,,94.08976683525782
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,4,75,133673,0.885,0.858,0,0.606,125820,,96.27806928918294
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,8,75,134084,0.997,0.858,0,0.831,129340,,99.63916920910584
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,8,100,133658,0.996,0.858,0,0.832,129340,,99.57846952010377
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,8,125,133651,0.995,0.858,0,0.833,129340,,99.74333254661317
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,16,150,133809,0.999,0.858,0,0.836,136380,,99.98824566558919
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,16,175,133467,0.999,0.858,0,0.834,136380,,99.94502632949482
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,16,200,133427,0.999,0.858,0,0.836,136380,,99.99132095122374
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,24,200,117318,0.999,0.858,0,0.867,143420,,99.99658703071673
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,24,225,133812,0.999,0.858,0,0.834,143420,,99.99121059416383
